,max_drawdown
NVDA,-0.6633509439267369
UNH,-0.6139087030521361
XOM,-0.5498587777489147
CVX,-0.5467010569474031
MSFT,-0.3714848024021433
KO,-0.36987507658655494
SPY,-0.3371725284698911
AAPL,-0.33360506122948425
JNJ,-0.2736626136789053
PG,-0.2377245977709691
