Date,AAPL,CVX,JNJ,KO,MSFT,NVDA,PG,SPY,UNH,XOM
2020-01-03,,,,,,,,,,
2020-01-06,,,,,,,,,,
2020-01-07,,,,,,,,,,
2020-01-08,,,,,,,,,,
2020-01-09,,,,,,,,,,
2020-01-10,,,,,,,,,,
2020-01-13,,,,,,,,,,
2020-01-14,,,,,,,,,,
2020-01-15,,,,,,,,,,
2020-01-16,,,,,,,,,,
2020-01-17,,,,,,,,,,
2020-01-21,,,,,,,,,,
2020-01-22,,,,,,,,,,
2020-01-23,,,,,,,,,,
2020-01-24,,,,,,,,,,
2020-01-27,,,,,,,,,,
2020-01-28,,,,,,,,,,
2020-01-29,,,,,,,,,,
2020-01-30,,,,,,,,,,
2020-01-31,,,,,,,,,,
2020-02-03,,,,,,,,,,
2020-02-04,,,,,,,,,,
2020-02-05,,,,,,,,,,
2020-02-06,,,,,,,,,,
2020-02-07,,,,,,,,,,
2020-02-10,,,,,,,,,,
2020-02-11,,,,,,,,,,
2020-02-12,,,,,,,,,,
2020-02-13,,,,,,,,,,
2020-02-14,0.2621822923923341,0.19070143903573206,0.10138351794534307,0.13031240455985324,0.22976149068525142,0.3575127332833502,0.10893224727704812,0.11795568314332311,0.31372203652114816,0.2338326924060596
2020-02-18,0.26689693945571663,0.19108718703424102,0.0969614230890569,0.13125165816693699,0.22421133862561618,0.35412519037504336,0.11138196569904595,0.11555157891172203,0.3133143457309407,0.23481277682407276
2020-02-19,0.2687071251060716,0.1921964908858428,0.09698173459219557,0.13092997015865737,0.22416547856812843,0.3860016327530113,0.11189754684868308,0.11575530754563423,0.31400755052891166,0.23481461286630279
2020-02-20,0.2705260930887857,0.19055407110765227,0.0968165084744464,0.1275311832724718,0.22835909937301832,0.39483391729565653,0.11219268583114682,0.11623562590269286,0.31520256988454026,0.23478660656269182
2020-02-21,0.27693525396074037,0.18919302662435944,0.10077191681454692,0.1278840587914322,0.2499468799089138,0.42679439424315674,0.11188246181612455,0.12046768579421611,0.30987154688496255,0.2338316612832256
2020-02-24,0.3042304129655306,0.2179416025352452,0.11864222550963427,0.14401026224874344,0.28303410033067145,0.48235607723195895,0.13492251150686133,0.1544786263902835,0.38557210175367956,0.2606884735638699
2020-02-25,0.31855475158215474,0.2398227598508139,0.1212727257935748,0.1513000315120345,0.2875103822776254,0.4999921172654274,0.141925734123548,0.17710961295563163,0.41171329551110364,0.27652869368693755
2020-02-26,0.31540211343623764,0.24742948132183087,0.12215185257273416,0.14931361699854412,0.2876615517771834,0.495861584416605,0.14280430676186165,0.17550825588070215,0.4030819413495648,0.2747574854356291
2020-02-27,0.3634502020149571,0.2668220311906036,0.1511558787230332,0.20260827465430964,0.3550893116365523,0.5205609975935112,0.21271032500280826,0.2156804868268654,0.4121420949257395,0.31291402172572896
2020-02-28,0.3635932344738169,0.266440170708428,0.17632163541514462,0.21178065660887857,0.36176897408872893,0.5556992533751638,0.2091093575943918,0.2150972213354945,0.4015185986062857,0.33587230352935143
2020-03-02,0.45810895382521927,0.2902239198019835,0.21563657548337345,0.25218578643099054,0.4070254768383076,0.5579572205276696,0.2704076780221912,0.2522385316304533,0.4550697611511341,0.3736061175199852
2020-03-03,0.46482363335720234,0.2940123569857223,0.23097125071551072,0.2522223557312744,0.43141098475579776,0.571233454684592,0.27169226774813676,0.2630326618783346,0.46955521194995664,0.3913541538043848
2020-03-04,0.4858641023842862,0.3247401467567737,0.2909842135371447,0.2928755527799397,0.4441797221236021,0.6027909609329193,0.31566041965421743,0.2939339457494884,0.5691656494346174,0.400881812109916
2020-03-05,0.49408487112582994,0.3259087425184674,0.29175122131221487,0.3122281887792094,0.45044098794295206,0.6164265234652345,0.32255131634898115,0.3076799004488639,0.5726076828475234,0.4144570713136419
2020-03-06,0.494647811119762,0.32813756627370233,0.2916417270722842,0.32069646302815186,0.4577389789278203,0.6221377557698647,0.32237209691009633,0.30994036359488836,0.5727142108466788,0.42972905762058083
