Date,AAPL,CVX,JNJ,KO,MSFT,NVDA,PG,SPY,UNH,XOM
2020-01-02,72.33386993408203,91.18257904052734,121.9369888305664,45.14126205444336,151.8295440673828,5.963802814483643,103.95930480957031,296.125244140625,261.7021789550781,52.94704055786133
2020-01-03,71.6306381225586,90.86721801757812,120.52519226074219,44.894989013671875,149.93902587890625,5.868345737457275,103.26011657714844,293.8829345703125,259.05377197265625,52.52136993408203
2020-01-06,72.201416015625,90.55931091308594,120.37486267089844,44.87857437133789,150.32656860351562,5.8929572105407715,103.40331268310547,295.004150390625,260.8522033691406,52.92463684082031
2020-01-07,71.86184692382812,89.4029312133789,121.10993194580078,44.53379821777344,148.95596313476562,5.964299201965332,102.76310729980469,294.17462158203125,259.277587890625,52.49150466918945
2020-01-08,73.01783752441406,88.38167572021484,121.09323120117188,44.61589050292969,151.3285369873047,5.975487232208252,103.2011489868164,295.7424621582031,264.7441711425781,51.699913024902344
2020-01-09,74.56880187988281,88.23900604248047,121.45243072509766,45.428585052490234,153.21913146972656,6.04111385345459,104.32997131347656,297.747802734375,263.2410583496094,52.095699310302734
2020-01-10,74.73737335205078,87.43553161621094,121.17676544189453,45.58455276489258,152.51011657714844,6.073428153991699,104.4310302734375,296.8908996582031,264.0552673339844,51.63269805908203
2020-01-13,76.33409118652344,87.60076141357422,121.71142578125,46.077091217041016,154.343994140625,6.263845920562744,105.1976318359375,298.9328308105469,255.7523956298828,52.12557601928711
2020-01-14,75.30332946777344,87.33040618896484,122.39640808105469,45.97037124633789,153.2568817138672,6.147011756896973,105.03754425048828,298.47698974609375,257.89068603515625,51.6775016784668
2020-01-15,74.98063659667969,87.20275115966797,122.80570983886719,46.545005798339844,154.24942016601562,6.104502201080322,106.10738372802734,299.1515808105469,265.2004699707031,51.59534454345703
2020-01-16,75.91987609863281,87.77345275878906,123.79978942871094,46.64351272583008,157.07579040527344,6.1880269050598145,106.20004272460938,301.6400146484375,269.0745544433594,51.39372634887695
2020-01-17,76.7603759765625,86.78976440429688,124.61007690429688,46.74201965332031,157.95494079589844,6.196728229522705,106.48646545410156,302.5788879394531,267.0436096191406,51.199554443359375
2020-01-21,76.24016571044922,85.085205078125,124.69364166259766,46.93082809448242,157.38772583007812,6.163417339324951,106.21688842773438,301.986328125,268.88665771484375,50.46770095825195
2020-01-22,76.51232147216797,84.77734375,123.84159851074219,47.292022705078125,156.63148498535156,6.217360973358154,106.4022216796875,302.0228576660156,268.9403381347656,50.17646026611328
2020-01-23,76.88079833984375,84.92752838134766,124.07547760009766,47.472618103027344,157.595703125,6.285722255706787,105.91582489013672,302.3692321777344,267.9293518066406,49.862815856933594
2020-01-24,76.65922546386719,83.9888916015625,123.9000473022461,47.349491119384766,156.0076141357422,6.226558208465576,106.04293823242188,299.68023681640625,261.9794921875,49.52676010131836
2020-01-27,74.40503692626953,82.8925552368164,124.25926971435547,47.185302734375,153.39874267578125,5.971012592315674,106.50897979736328,294.8764343261719,254.1776885986328,48.34684371948242
